elect_gen,year,gw_hours
total_net,1974,20175.8
total_net,1975,20120.3
total_net,1976,21220.4
total_net,1977,21792.4
total_net,1978,21854.5
total_net,1979,22174.7
total_net,1980,22712.7
total_net,1981,23291.5
total_net,1982,24575.9
total_net,1983,26141.3
total_net,1984,27253.6
total_net,1985,27688.7
total_net,1986,28652.1
total_net,1987,29020.8
total_net,1988,30323.3
total_net,1989,30547.9
total_net,1990,31459.4
total_net,1991,32409.8
total_net,1992,31936.4
total_net,1993,33358.2
total_net,1994,34025.9
total_net,1995,35249.7
total_net,1996,35560
total_net,1997,35993.1
total_net,1998,36579.3
total_net,1999,36643.2
total_net,2000,38068.7
total_net,2001,38218.3
total_net,2002,39385.8
total_net,2003,39454.3
total_net,2004,41264.2
total_net,2005,41493.3
total_net,2006,42101.5
total_net,2007,42268
total_net,2008,42303.4
total_net,2009,42063.9
total_net,2010,43405.6
total_net,2011,43041.8
total_net,2012,42797.5
total_net,2013,41867.3
hydro,1974,15037
hydro,1975,16497
hydro,1976,15344
hydro,1977,14573
hydro,1978,15503
hydro,1979,18259
hydro,1980,19171
hydro,1981,19483
hydro,1982,18121
hydro,1983,19554
hydro,1984,20173
hydro,1985,19510.8
hydro,1986,21876.7
hydro,1987,21709.3
hydro,1988,22733
hydro,1989,22333.3
hydro,1990,22953.4
hydro,1991,22665.5
hydro,1992,20881.7
hydro,1993,23258
hydro,1994,25578.7
hydro,1995,27259.4
hydro,1996,25921.1
hydro,1997,23025.6
hydro,1998,25066.1
hydro,1999,22690.3
hydro,2000,24190.6
hydro,2001,21464.4
hydro,2002,24624.3
hydro,2003,23386.6
hydro,2004,26659.8
hydro,2005,23094.3
hydro,2006,23337.5
hydro,2007,23404.1
hydro,2008,22124.3
hydro,2009,23975.6
hydro,2010,24492.7
hydro,2011,24868.4
hydro,2012,22673.6
hydro,2013,22815.4
